time,pitch,yaw
3660,6.3044764164541345,81.46130065758712
3680,6.3044764164541345,81.46130065758712
3700,6.3044764164541345,81.46130065758712
3720,6.3044764164541345,81.46130065758712
3740,6.3044764164541345,81.46130065758712
3760,6.3044764164541345,81.46130065758712
3780,6.3044764164541345,81.46130065758712
3800,6.3044764164541345,81.46130065758712
3820,6.3044764164541345,81.46130065758712
3840,6.3044764164541345,81.46130065758712
3860,6.3044764164541345,81.46130065758712
3880,6.3044764164541345,81.46130065758712
3900,6.3044764164541345,81.46130065758712
3920,6.3044764164541345,81.46130065758712
3940,6.3044764164541345,81.46130065758712
3960,6.3044764164541345,81.46130065758712
3981,6.3044764164541345,81.46130065758712
4000,6.3044764164541345,81.46130065758712
4020,6.3044764164541345,81.46130065758712
