time,pitch,yaw,hfov
4061,-4.2875397575513094,-98.13249012085066,100
4075,-4.2875397575513094,-98.13249012085066,100
4080,-4.2875397575513094,-98.13249012085066,100
4091,-4.2875397575513094,-98.13249012085066,100
4100,-4.2875397575513094,-98.13249012085066,100
4111,-4.2875397575513094,-98.13249012085066,100
4120,-4.2875397575513094,-98.13249012085066,100
4131,-4.2875397575513094,-98.13249012085066,100
4141,-4.2875397575513094,-98.13249012085066,100
4151,-4.2875397575513094,-98.13249012085066,100
4161,-4.2875397575513094,-98.13249012085066,100
4171,-4.2875397575513094,-98.13249012085066,100
4181,-4.2875397575513094,-98.13249012085066,100
4191,-4.2875397575513094,-98.13249012085066,100
4201,-4.2875397575513094,-98.13249012085066,100
4213,-4.2875397575513094,-98.13249012085066,100
4220,-4.2875397575513094,-98.13249012085066,100
4230,-4.2875397575513094,-98.13249012085066,100
4241,-4.2875397575513094,-98.13249012085066,100
4251,-4.2875397575513094,-98.13249012085066,100
4261,-4.2875397575513094,-98.13249012085066,100
4271,-4.2875397575513094,-98.13249012085066,100
4281,-4.2875397575513094,-98.13249012085066,100
4291,-4.2875397575513094,-98.13249012085066,100
4301,-4.2875397575513094,-98.13249012085066,100
4311,-4.2875397575513094,-98.13249012085066,100
4328,-4.2875397575513094,-98.13249012085066,100
4331,-4.2875397575513094,-98.13249012085066,100
4340,-4.2875397575513094,-98.13249012085066,100
4350,-4.2875397575513094,-98.13249012085066,100
4361,-4.2875397575513094,-98.13249012085066,100
4370,-4.2875397575513094,-98.13249012085066,100
4380,-4.2875397575513094,-98.13249012085066,100
4390,-4.2875397575513094,-98.13249012085066,100
4400,-4.2875397575513094,-98.13249012085066,100
4410,-4.2875397575513094,-98.13249012085066,100
4420,-4.2875397575513094,-98.13249012085066,100
4430,-4.2875397575513094,-98.13249012085066,100
4440,-4.2875397575513094,-98.13249012085066,100
4450,-4.2875397575513094,-98.13249012085066,100
4463,-4.2875397575513094,-98.13249012085066,100
4476,-4.4356410300034215,-97.91960260260714,100
4480,-4.4356410300034215,-97.91960260260714,100
4490,-4.583830308813569,-97.91960260260714,100
4500,-4.732105822842603,-97.91960260260714,100
